"Timestamp","SourceIP","DestinationIP","Port","AttackType","Status"
"12/27/2024 1:41:07 AM","100.109.107.127","192.168.1.1","61920","Port Scan","Blocked"
"12/27/2024 2:46:07 AM","228.94.35.89","192.168.1.1","42679","Port Scan","Blocked"
"12/26/2024 9:31:07 AM","135.201.66.246","192.168.1.1","32226","Port Scan","Blocked"
"12/26/2024 5:36:07 AM","75.78.135.152","192.168.1.1","14324","Port Scan","Blocked"
"12/26/2024 7:36:07 PM","128.169.192.223","192.168.1.1","49968","Port Scan","Blocked"
"12/26/2024 7:26:07 PM","208.209.87.32","192.168.1.1","6944","Port Scan","Blocked"
"12/26/2024 2:33:07 PM","79.128.13.82","192.168.1.1","56230","Port Scan","Blocked"
"12/27/2024 1:15:07 AM","237.28.78.225","192.168.1.1","23664","Port Scan","Blocked"
"12/26/2024 10:18:07 AM","17.7.91.52","192.168.1.1","1465","Port Scan","Blocked"
"12/27/2024 2:17:07 AM","82.253.119.61","192.168.1.1","64219","Port Scan","Blocked"
"12/27/2024 1:32:07 AM","65.32.9.223","192.168.1.1","7856","Port Scan","Blocked"
"12/26/2024 4:18:07 PM","34.160.221.166","192.168.1.1","37286","Port Scan","Blocked"
"12/26/2024 10:10:07 PM","250.41.61.237","192.168.1.1","23649","Port Scan","Blocked"
"12/27/2024 2:31:07 AM","21.78.161.177","192.168.1.1","48985","Port Scan","Blocked"
"12/26/2024 1:38:07 PM","107.247.101.99","192.168.1.1","59006","Port Scan","Blocked"
"12/26/2024 9:05:07 PM","99.199.109.203","192.168.1.1","35239","Port Scan","Blocked"
"12/26/2024 7:37:07 AM","12.221.250.40","192.168.1.1","48838","Port Scan","Blocked"
"12/26/2024 10:04:07 PM","182.23.208.189","192.168.1.1","57501","Port Scan","Blocked"
"12/26/2024 5:00:07 PM","22.61.180.13","192.168.1.1","55568","Port Scan","Blocked"
"12/26/2024 8:49:07 PM","13.105.244.195","192.168.1.1","61921","Port Scan","Blocked"
"12/26/2024 11:44:07 PM","147.65.252.119","192.168.1.1","11856","Port Scan","Blocked"
"12/27/2024 4:50:07 AM","245.245.171.106","192.168.1.1","51332","Port Scan","Blocked"
"12/26/2024 7:08:07 AM","40.214.76.205","192.168.1.1","57682","Port Scan","Blocked"
"12/26/2024 8:55:07 AM","87.8.245.94","192.168.1.1","1256","Port Scan","Blocked"
"12/27/2024 12:42:07 AM","13.12.173.77","192.168.1.1","31753","Port Scan","Blocked"
"12/26/2024 8:41:07 AM","210.152.110.217","192.168.1.1","2941","Port Scan","Blocked"
"12/26/2024 1:19:07 PM","150.126.180.43","192.168.1.1","38531","Port Scan","Blocked"
"12/26/2024 3:18:07 PM","42.178.169.200","192.168.1.1","57614","Port Scan","Blocked"
"12/26/2024 10:22:07 PM","144.162.237.137","192.168.1.1","56671","Port Scan","Blocked"
"12/26/2024 6:49:07 AM","14.102.168.132","192.168.1.1","56450","Port Scan","Blocked"
"12/26/2024 9:49:07 AM","82.18.43.235","192.168.1.1","3864","Port Scan","Blocked"
"12/26/2024 7:19:07 PM","221.13.230.141","192.168.1.1","10335","Port Scan","Blocked"
"12/26/2024 5:10:07 PM","151.21.140.159","192.168.1.1","59440","Port Scan","Blocked"
"12/26/2024 9:16:07 AM","218.194.139.35","192.168.1.1","51984","Port Scan","Blocked"
"12/27/2024 3:08:07 AM","239.122.242.87","192.168.1.1","21370","Port Scan","Blocked"
"12/26/2024 10:40:07 AM","101.205.227.63","192.168.1.1","54237","Port Scan","Blocked"
"12/26/2024 12:18:07 PM","127.174.154.26","192.168.1.1","5210","Port Scan","Blocked"
"12/26/2024 4:31:07 PM","130.1.9.12","192.168.1.1","49368","Port Scan","Blocked"
"12/26/2024 3:52:07 PM","138.67.230.253","192.168.1.1","19544","Port Scan","Blocked"
"12/27/2024 1:50:07 AM","70.80.160.169","192.168.1.1","47817","Port Scan","Blocked"
"12/26/2024 8:59:07 PM","59.110.230.28","192.168.1.1","58066","Port Scan","Blocked"
"12/26/2024 11:11:07 PM","253.252.253.234","192.168.1.1","60532","Port Scan","Blocked"
"12/26/2024 6:46:07 AM","72.43.242.1","192.168.1.1","61878","Port Scan","Blocked"
"12/26/2024 7:35:07 PM","218.185.47.97","192.168.1.1","27709","Port Scan","Blocked"
"12/26/2024 11:11:07 PM","251.241.158.93","192.168.1.1","49835","Port Scan","Blocked"
"12/27/2024 3:32:07 AM","43.9.235.34","192.168.1.1","41633","Port Scan","Blocked"
"12/26/2024 11:58:07 AM","220.153.0.179","192.168.1.1","23488","Port Scan","Blocked"
"12/26/2024 8:53:07 PM","3.227.104.235","192.168.1.1","782","Port Scan","Blocked"
"12/27/2024 2:30:07 AM","195.186.102.121","192.168.1.1","44856","Port Scan","Blocked"
"12/26/2024 1:29:07 PM","34.9.136.74","192.168.1.1","51174","Port Scan","Blocked"
"12/26/2024 3:23:07 PM","43.82.213.120","192.168.1.1","52029","Port Scan","Blocked"
"12/26/2024 5:26:07 PM","120.134.176.222","192.168.1.1","10613","Port Scan","Blocked"
"12/27/2024 4:50:07 AM","89.42.32.226","192.168.1.1","49863","Port Scan","Blocked"
"12/27/2024 5:17:07 AM","178.5.98.61","192.168.1.1","64628","Port Scan","Blocked"
"12/26/2024 12:26:07 PM","48.150.40.120","192.168.1.1","57897","Port Scan","Blocked"
"12/26/2024 6:00:07 PM","177.61.23.203","192.168.1.1","29975","Port Scan","Blocked"
"12/26/2024 12:44:07 PM","127.97.170.112","192.168.1.1","1363","Port Scan","Blocked"
"12/26/2024 10:27:07 AM","25.1.144.82","192.168.1.1","2049","Port Scan","Blocked"
"12/26/2024 4:56:07 PM","160.117.129.110","192.168.1.1","14845","Port Scan","Blocked"
"12/26/2024 1:40:07 PM","148.213.122.169","192.168.1.1","19407","Port Scan","Blocked"
"12/26/2024 6:26:07 AM","214.61.17.125","192.168.1.1","43513","Port Scan","Blocked"
"12/26/2024 11:18:07 AM","112.221.174.206","192.168.1.1","38011","Port Scan","Blocked"
"12/26/2024 4:19:07 PM","240.145.10.18","192.168.1.1","19114","Port Scan","Blocked"
"12/26/2024 11:49:07 AM","85.70.134.61","192.168.1.1","52690","Port Scan","Blocked"
"12/26/2024 8:32:07 PM","78.247.20.210","192.168.1.1","8727","Port Scan","Blocked"
"12/26/2024 11:53:07 AM","157.180.175.6","192.168.1.1","35092","Port Scan","Blocked"
"12/26/2024 5:11:07 PM","9.221.151.221","192.168.1.1","60356","Port Scan","Blocked"
"12/26/2024 1:40:07 PM","110.199.227.59","192.168.1.1","3986","Port Scan","Blocked"
"12/26/2024 11:48:07 AM","206.239.86.226","192.168.1.1","68","Port Scan","Blocked"
"12/27/2024 1:11:07 AM","216.137.70.234","192.168.1.1","9143","Port Scan","Blocked"
"12/26/2024 7:43:07 PM","29.159.238.90","192.168.1.1","58501","Port Scan","Blocked"
"12/27/2024 1:30:07 AM","60.125.108.94","192.168.1.1","5057","Port Scan","Blocked"
"12/26/2024 10:29:07 AM","166.94.221.81","192.168.1.1","13663","Port Scan","Blocked"
"12/26/2024 8:05:07 AM","25.203.53.239","192.168.1.1","49343","Port Scan","Blocked"
"12/26/2024 1:23:07 PM","224.12.212.26","192.168.1.1","53357","Port Scan","Blocked"
"12/26/2024 12:40:07 PM","200.30.98.228","192.168.1.1","61508","Port Scan","Blocked"
"12/26/2024 2:45:07 PM","51.184.236.24","192.168.1.1","43047","Port Scan","Blocked"
"12/26/2024 10:05:07 PM","40.147.12.0","192.168.1.1","55358","Port Scan","Blocked"
"12/27/2024 1:06:07 AM","66.117.59.51","192.168.1.1","41071","Port Scan","Blocked"
"12/27/2024 3:31:07 AM","12.37.99.28","192.168.1.1","60446","Port Scan","Blocked"
"12/27/2024 5:14:07 AM","200.239.112.156","192.168.1.1","24606","Port Scan","Blocked"
"12/26/2024 12:11:07 PM","70.206.141.177","192.168.1.1","25341","Port Scan","Blocked"
"12/26/2024 5:05:07 PM","244.207.23.112","192.168.1.1","43700","Port Scan","Blocked"
"12/27/2024 1:49:07 AM","102.244.2.55","192.168.1.1","23442","Port Scan","Blocked"
"12/26/2024 7:38:07 PM","172.1.50.103","192.168.1.1","56260","Port Scan","Blocked"
"12/27/2024 3:26:07 AM","107.76.166.36","192.168.1.1","23704","Port Scan","Blocked"
"12/26/2024 10:26:07 PM","3.78.0.68","192.168.1.1","35355","Port Scan","Blocked"
"12/26/2024 1:11:07 PM","82.106.73.71","192.168.1.1","20490","Port Scan","Blocked"
"12/26/2024 10:05:07 PM","114.200.209.78","192.168.1.1","4249","Port Scan","Blocked"
"12/26/2024 12:52:07 PM","236.75.129.180","192.168.1.1","15304","Port Scan","Blocked"
"12/26/2024 11:27:07 PM","146.145.105.237","192.168.1.1","55916","Port Scan","Blocked"
"12/26/2024 6:22:07 AM","89.217.246.183","192.168.1.1","34941","Port Scan","Blocked"
"12/26/2024 11:43:07 AM","128.190.64.247","192.168.1.1","2138","Port Scan","Blocked"
"12/26/2024 5:24:07 PM","218.252.76.44","192.168.1.1","51836","Port Scan","Blocked"
"12/26/2024 1:48:07 PM","247.155.140.48","192.168.1.1","21099","Port Scan","Blocked"
"12/27/2024 2:02:07 AM","100.182.148.182","192.168.1.1","47369","Port Scan","Blocked"
"12/26/2024 5:57:07 PM","63.111.252.89","192.168.1.1","57991","Port Scan","Blocked"
"12/27/2024 2:44:07 AM","34.148.0.180","192.168.1.1","692","Port Scan","Blocked"
"12/27/2024 12:00:07 AM","218.83.10.31","192.168.1.1","60378","Port Scan","Blocked"
"12/27/2024 12:02:07 AM","88.71.83.199","192.168.1.1","53971","Port Scan","Blocked"
"12/27/2024 4:40:07 AM","178.121.9.179","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 5:09:07 PM","56.87.221.197","192.168.1.1","22","Brute Force","Blocked"
"12/27/2024 3:19:07 AM","94.35.238.229","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 3:59:07 PM","20.22.215.167","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 3:32:07 PM","147.151.112.99","192.168.1.1","22","Brute Force","Blocked"
"12/27/2024 3:14:07 AM","176.25.232.73","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 11:11:07 AM","25.167.225.242","192.168.1.1","22","Brute Force","Blocked"
"12/27/2024 1:42:07 AM","50.38.218.65","192.168.1.1","22","Brute Force","Blocked"
"12/27/2024 1:59:07 AM","11.220.161.3","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 5:10:07 PM","236.175.17.220","192.168.1.1","22","Brute Force","Blocked"
"12/27/2024 12:38:07 AM","134.222.210.194","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 1:47:07 PM","89.122.244.46","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 8:39:07 AM","74.157.80.167","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 3:48:07 PM","5.224.206.100","192.168.1.1","22","Brute Force","Blocked"
"12/27/2024 2:09:07 AM","139.122.118.222","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 9:05:07 PM","172.142.93.157","192.168.1.1","22","Brute Force","Blocked"
"12/27/2024 2:18:07 AM","169.151.187.191","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 7:49:07 AM","130.195.164.68","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 6:53:07 AM","72.65.48.86","192.168.1.1","22","Brute Force","Blocked"
"12/26/2024 10:12:07 PM","142.85.78.185","192.168.1.1","22","Brute Force","Blocked"
